z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayMode,branchingRatio,branchingRatioUncertainty
0,1,Neutron,0,608.9,s,0.3,β⁻,100,
1,2,3H,0,12.3221,y,0.0106,β⁻,100,
1,3,4H,0,3.3,MeV,0.3,n,100,
1,4,5H,0,5.3,MeV,0.4,2n,100,
1,5,6H,0,1.5,MeV,0.3,3n,100,
1,6,7H,0,0.18,MeV,+0.47-0.13,2n,,
1,6,7H,0,0.18,MeV,+0.47-0.13,4n,,
2,3,5He,0,719,keV,48,n,100,
2,4,6He,0,807.12,ms,0.17,β⁻,100,
2,5,7He,0,195,keV,4,n,100,
2,6,8He,0,119,ms,1.6,β⁻,100,
2,6,8He,0,119,ms,1.6,β⁻n,16,1
2,7,9He,0,180,keV,100,n,100,
2,8,10He,0,1.8,MeV,0.3,2n,100,
3,1,4Li,0,5,MeV,0.5,p,100,
3,2,5Li,0,1.23,MeV,0.0,p,100,
3,5,8Li,0,838.79,ms,0.35,β⁻,100,
3,5,8Li,0,838.79,ms,0.35,β⁻ɑ,100,
3,6,9Li,0,178,ms,0.3,β⁻n,51,0.9
3,6,9Li,0,178,ms,0.3,β⁻,100,
3,6,9Li,0,178,ms,0.3,β⁻ɑ,12.3,0.9
3,7,10Li,0,0.23,MeV,<=,n,100,
3,8,11Li,0,8.75,ms,0.1,β⁻ɑ,1.7,0.3
3,8,11Li,0,8.75,ms,0.1,β⁻,100,
3,8,11Li,0,8.75,ms,0.1,β⁻2n,4.2,0.3
3,8,11Li,0,8.75,ms,0.1,β⁻3n,1.9,0.2
3,8,11Li,0,8.75,ms,0.1,β⁻n,84.3,1.3
3,9,12Li,0,,,,n,100,
3,10,13Li,0,125,keV,+60-40,2n,100,
4,2,6Be,0,92,keV,6,2p,100,
4,3,7Be,0,53.3,d,0.1,ε,100,
4,4,8Be,0,5.57,eV,0.25,ɑ,100,
4,6,10Be,0,1.39e+06,y,1.16e+04,β⁻,100,
4,7,11Be,0,13.77,s,0.07,B-p,0.000013,0.000003
4,7,11Be,0,13.77,s,0.07,β⁻,100,
4,7,11Be,0,13.77,s,0.07,β⁻ɑ,3.3,0.1
4,8,12Be,0,21.46,ms,0.05,β⁻,100,
4,8,12Be,0,21.46,ms,0.05,β⁻n,0.5,0.03
4,9,13Be,0,450,keV,30,n,,
4,11,15Be,0,580,keV,200,n,100,
4,12,16Be,0,0.8,MeV,+0.1-0.2,2n,100,
4,10,14Be,0,4.65,ms,0.12,β⁻ɑ,0.004,
4,10,14Be,0,4.65,ms,0.12,β⁻2n,5,2
4,10,14Be,0,4.65,ms,0.12,β⁻,100,
4,10,14Be,0,4.65,ms,0.12,β⁻n,86,6
5,12,17B,0,5.07,ms,0.05,β⁻,100,
5,12,17B,0,5.07,ms,0.05,β⁻2n,12,2
